Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,2810,11,4,557,967,1258,13,1175,58,81,153,16,14,809,44,43
Anti-White,478,1,2,101,206,165,3,238,20,25,70,6,3,86,28,17
Anti-Black,1546,10,2,279,488,764,3,566,12,20,27,4,9,489,5,13
Anti-Native,54,0,0,8,18,27,1,79,5,14,28,4,0,22,6,4
Anti-Asian,94,0,0,21,32,41,0,38,2,7,4,2,1,22,0,0
Anti-Multiple,61,0,0,12,15,34,0,74,1,3,4,0,0,64,2,3
Anti-Arab,35,0,0,2,22,11,0,12,2,0,0,0,0,10,0,0
Anti-Hispanic,299,0,0,82,98,116,3,80,15,5,8,0,1,50,1,0
Anti-Other,238,0,0,49,87,99,3,87,1,7,12,0,0,65,2,6
Religion,542,4,1,68,188,280,1,804,7,35,60,2,12,678,10,8
Anti-Jewish,215,0,0,22,78,114,1,480,1,12,14,0,4,447,2,0
Anti-Catholic,13,0,0,1,10,2,0,44,1,4,5,1,2,30,1,2
Anti-Protestant,15,0,0,8,3,4,0,31,0,2,8,0,1,18,2,1
Anti-Islamic,215,4,0,27,64,120,0,83,4,4,4,0,1,70,0,3
Anti-Others,39,0,1,2,8,28,0,65,1,6,1,0,3,54,0,0
Anti-Multiple,18,0,0,3,7,8,0,38,0,1,3,0,1,33,0,1
Anti-Atheism,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Sexual Orientation,938,1,5,214,461,253,4,279,47,22,23,1,3,178,5,2
Anti-Male Homosexual,586,1,2,140,297,144,2,172,29,18,8,1,1,112,3,0
Anti-Female Homosexual,137,0,2,31,66,38,0,31,3,3,2,0,0,23,0,0
Anti-Homosexual,173,0,1,39,75,58,0,62,12,1,8,0,2,38,1,0
Anti-Heterosexual,15,0,0,1,8,5,1,6,1,0,1,0,0,3,1,2
Anti-Bisexual,27,0,0,3,15,8,1,8,2,0,4,0,0,2,0,0
Disability,55,0,0,11,27,16,1,28,2,1,6,1,0,14,4,5
Anti-Physical,33,0,0,6,17,10,0,15,2,1,2,1,0,9,0,4
Anti-Mental,22,0,0,5,10,6,1,13,0,0,4,0,0,5,4,1
Gender,24,0,1,4,11,8,0,5,0,0,2,1,0,2,0,0
Anti-Male,6,0,0,0,3,3,0,2,0,0,2,0,0,0,0,0
Anti-Female,18,0,1,4,8,5,0,3,0,0,0,1,0,2,0,0
Gender Identity,80,1,1,22,36,19,1,31,6,7,9,1,0,5,3,7
Anti-Transgender,60,1,1,15,27,15,1,14,5,1,4,0,0,4,0,1
Anti-Gender Non-Conforming,20,0,0,7,9,4,0,17,1,6,5,1,0,1,3,6
