Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,3031,2,1,623 ,845 ,1546,14,1686 ,67 ,75,120,16 ,28 ,1361 ,19 ,7
Anti-White,552,0,1,107 ,246 ,190,8,317 ,39 ,25,76,4 ,3 ,155 ,15 ,2
Anti-Black,2161,1,0,450 ,518 ,1186,6,1110 ,21 ,41,26,6 ,20 ,992 ,4 ,4
Anti-Native,49,0,0,9 ,18 ,22,0,26 ,0 ,1,10,4 ,2 ,9 ,0 ,0
Anti-Asian,131,0,0,19 ,33 ,79,0,88 ,6 ,5,5,1 ,0 ,71 ,0 ,0
Anti-Multiple,138,1,0,38 ,30 ,69,0,145 ,1 ,3,3,1 ,3 ,134 ,0 ,1
Anti-Hispanic,570,2,0,147 ,172 ,247,2,201 ,43 ,19,11,1 ,1 ,123 ,3 ,4
Anti-Other,304,0,0,56 ,120 ,128,0,176 ,10 ,9,13,2 ,5 ,134 ,3 ,1
Religion,421,0,0,44 ,82 ,290,5,1054 ,3 ,36,33,1 ,3 ,972 ,6 ,2
Anti-Jewish,263,0,0,16 ,42 ,201,4,747 ,1 ,17,6,0 ,1 ,718 ,4 ,0
Anti-Catholic,11,0,0,0 ,7 ,4,0,54 ,0 ,4,10,0 ,1 ,38 ,1 ,0
Anti-Protestant,12,0,0,4 ,5 ,3,0,47 ,0 ,2,4,0 ,0 ,41 ,0 ,0
Anti-Islamic,84,0,0,12 ,21 ,51,0,49 ,1 ,4,3,0 ,0 ,41 ,0 ,0
Anti-Others,39,0,0,10 ,5 ,24,0,99 ,0 ,6,3,0 ,1 ,88 ,1 ,2
Anti-Multiple,11,0,0,1 ,2 ,7,1,53 ,0 ,3,7,1 ,0 ,42 ,0 ,0
Anti-Atheism,1,0,0,1 ,0 ,0,0,5 ,1 ,0,0,0 ,0 ,4 ,0 ,0
Sexual Orientation,1039,5,0,242 ,448 ,335,9,418 ,53 ,16,23,2 ,3 ,314 ,7 ,3
Anti-Male Homosexual,635,4,0,142 ,280 ,203,6,227 ,37 ,4,9,0 ,2 ,173 ,2 ,2
Anti-Female Homosexual,132,0,0,37 ,48 ,47,0,52 ,2 ,4,3,1 ,0 ,41 ,1 ,0
Anti-Homosexual,241,1,0,61 ,104 ,74,1,120 ,14 ,3,6,0 ,1 ,93 ,3 ,1
Anti-Heterosexual,18,0,0,1 ,7 ,8,2,9 ,0 ,4,1,0 ,0 ,3 ,1 ,0
Anti-Bisexual,13,0,0,1 ,9 ,3,0,10 ,0 ,1,4,1 ,0 ,4 ,0 ,0
Disability,38,0,1,4 ,16 ,15,2,42 ,2 ,4,21,0 ,0 ,9 ,6 ,2
Anti-Physical,16,0,0,2 ,7 ,7,0,4 ,0 ,0,2,0 ,0 ,1 ,1 ,0
Anti-Mental,22,0,1,2 ,9 ,8,2,38 ,2 ,4,19,0 ,0 ,8 ,5 ,2
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gender Non-Conforming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
