Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,3424,8,9,659,1121,1627,21,1285,68,76,195,26,16,854,50,224
Anti-White,662,3,6,114,250,289,9,238,15,24,79,8,1,91,20,92
Anti-Black,1723,4,2,323,486,908,2,550,14,24,22,3,10,474,3,50
Anti-Native,47,0,0,6,30,11,5,95,2,8,49,9,1,14,12,57
Anti-Asian,124,0,0,18,46,60,0,43,4,2,5,0,0,30,2,4
Anti-Multiple,83,0,0,7,16,60,0,79,1,3,5,1,1,68,0,4
Anti-Arab,72,0,0,18,17,37,0,19,2,2,4,0,1,8,2,9
Anti-Hispanic,517,1,0,129,197,190,4,120,23,8,8,4,1,73,3,3
Anti-Other,178,0,1,39,73,65,1,134,7,5,20,1,1,93,7,4
Religion,642,12,0,63,161,406,11,858,12,25,50,8,24,723,16,39
Anti-Jewish,343,11,0,24,65,243,8,543,5,2,3,1,10,522,0,2
Anti-Catholic,17,0,0,3,3,11,0,38,0,2,3,1,5,24,3,4
Anti-Protestant,11,0,0,4,4,3,0,25,0,0,7,1,2,15,0,2
Anti-Islamic,169,0,0,14,53,102,0,55,4,2,3,0,2,44,0,1
Anti-Others,34,1,0,3,9,21,1,58,1,3,7,1,2,43,1,3
Anti-Multiple,15,0,0,1,3,11,0,30,0,2,2,0,2,24,0,5
Anti-Atheism,1,0,0,0,1,0,0,5,0,0,1,0,0,3,1,0
Sexual Orientation,1077,3,5,245,468,356,3,319,32,18,44,5,3,214,3,5
Anti-Male Homosexual,659,2,2,160,297,198,2,177,23,10,15,3,1,125,0,1
Anti-Female Homosexual,137,1,1,28,44,63,0,32,2,3,2,0,1,23,1,2
Anti-Homosexual,256,0,0,53,119,84,1,95,7,4,21,1,1,60,1,1
Anti-Heterosexual,13,0,1,2,5,5,0,7,0,0,3,1,0,2,1,0
Anti-Bisexual,12,0,1,2,3,6,0,8,0,1,3,0,0,4,0,1
Disability,94,0,4,16,55,19,2,66,3,7,29,2,0,12,13,15
Anti-Physical,34,0,1,4,22,7,1,26,2,1,13,0,0,6,4,6
Anti-Mental,60,0,3,12,33,12,1,40,1,6,16,2,0,6,9,9
Gender,41,1,2,5,13,20,2,13,2,0,3,0,0,5,3,2
Anti-Male,18,0,2,5,5,6,1,6,2,0,1,0,0,1,2,1
Anti-Female,23,1,0,0,8,14,1,7,0,0,2,0,0,4,1,1
Gender Identity,135,0,2,29,64,40,0,45,14,3,4,1,0,22,1,4
Anti-Transgender,120,0,1,26,56,37,0,35,14,2,2,1,0,15,1,2
Anti-Gender Non-Conforming,15,0,1,3,8,3,0,10,0,1,2,0,0,7,0,2
