Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,3009,1,1,528 ,884 ,1587,8,1682 ,60 ,81,118,15 ,28 ,1369 ,11 ,13
Anti-White,530,0,1,101 ,224 ,200,4,277 ,24 ,32,75,8 ,3 ,129 ,6 ,5
Anti-Black,2229,1,0,386 ,581 ,1257,4,1176 ,33 ,36,34,5 ,22 ,1042 ,4 ,8
Anti-Native,34,0,0,5 ,20 ,9,0,25 ,1 ,4,5,0 ,0 ,14 ,1 ,0
Anti-Asian,108,0,0,15 ,38 ,55,0,54 ,1 ,3,1,1 ,1 ,47 ,0 ,0
Anti-Multiple,108,0,0,21 ,21 ,66,0,150 ,1 ,6,3,1 ,2 ,137 ,0 ,0
Anti-Hispanic,565,1,0,158 ,189 ,217,0,168 ,21 ,10,5,0 ,4 ,126 ,2 ,2
Anti-Other,267,0,0,51 ,65 ,150,1,146 ,4 ,14,17,1 ,2 ,107 ,1 ,0
Religion,473,0,1,47 ,114 ,311,0,1133 ,8 ,28,43,4 ,13 ,1029 ,8 ,0
Anti-Jewish,284,0,0,25 ,58 ,201,0,771 ,4 ,5,14,0 ,4 ,742 ,2 ,0
Anti-Catholic,7,0,0,1 ,3 ,3,0,68 ,1 ,4,8,0 ,0 ,55 ,0 ,0
Anti-Protestant,7,0,0,3 ,3 ,1,0,53 ,0 ,4,4,0 ,2 ,42 ,1 ,0
Anti-Islamic,83,0,0,5 ,30 ,48,0,40 ,1 ,2,2,0 ,5 ,30 ,0 ,0
Anti-Others,71,0,0,9 ,11 ,51,0,141 ,1 ,10,8,2 ,2 ,114 ,4 ,0
Anti-Multiple,19,0,1,3 ,8 ,7,0,48 ,1 ,2,4,1 ,0 ,39 ,1 ,0
Anti-Atheism,2,0,0,1 ,1 ,0,0,12 ,0 ,1,3,1 ,0 ,7 ,0 ,0
Sexual Orientation,1168,5,6,232 ,501 ,419,5,447 ,50 ,23,32,6 ,6 ,324 ,6 ,2
Anti-Male Homosexual,707,3,1,152 ,312 ,238,1,240 ,39 ,8,14,5 ,4 ,168 ,2 ,1
Anti-Female Homosexual,147,0,5,22 ,58 ,61,1,47 ,0 ,4,4,0 ,0 ,37 ,2 ,0
Anti-Homosexual,278,0,0,54 ,111 ,110,3,136 ,10 ,8,8,0 ,2 ,108 ,0 ,1
Anti-Heterosexual,18,0,0,3 ,8 ,7,0,15 ,1 ,1,4,0 ,0 ,8 ,1 ,0
Anti-Bisexual,18,2,0,1 ,12 ,3,0,9 ,0 ,2,2,1 ,0 ,3 ,1 ,0
Disability,53,0,3,7 ,23 ,17,3,31 ,2 ,1,9,0 ,0 ,15 ,4 ,1
Anti-Physical,22,0,0,5 ,9 ,8,0,6 ,0 ,0,2,0 ,0 ,3 ,1 ,0
Anti-Mental,31,0,3,2 ,14 ,9,3,25 ,2 ,1,7,0 ,0 ,12 ,3 ,1
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gender Non-Conforming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
