Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,3064,11,8,638,965,1442,15,1585,84,83,208,35,24,1111,40,167
Anti-White,486,5,2,105,203,171,7,288,22,24,92,14,3,113,20,63
Anti-Black,1606,5,1,326,454,820,2,728,19,29,17,2,15,640,6,22
Anti-Native,94,0,4,17,29,44,1,124,2,12,60,14,0,26,10,62
Anti-Asian,99,0,0,14,40,45,0,51,0,4,8,1,0,38,0,2
Anti-Multiple,100,0,0,8,27,65,2,111,4,4,1,0,0,102,0,2
Anti-Arab,99,0,1,24,37,37,2,26,2,1,5,2,0,16,0,1
Anti-Hispanic,397,1,0,105,124,167,0,124,29,3,12,1,3,74,2,4
Anti-Other,177,0,0,38,49,90,0,124,5,5,9,1,3,100,1,11
Religion,572,1,1,55,184,331,2,1074,14,35,52,3,8,938,24,31
Anti-Jewish,248,0,0,8,61,179,0,726,4,11,11,0,2,696,2,2
Anti-Catholic,8,0,0,1,3,4,0,56,0,1,6,1,2,43,3,11
Anti-Protestant,7,0,0,0,4,3,0,31,0,2,6,0,0,22,1,2
Anti-Islamic,215,0,0,28,77,110,0,99,6,2,6,0,0,80,5,0
Anti-Others,33,0,0,2,10,21,0,46,1,3,1,1,2,36,2,3
Anti-Multiple,21,0,0,5,15,1,0,31,1,4,4,0,1,21,0,2
Anti-Atheism,2,0,0,0,2,0,1,4,1,0,2,0,0,1,0,1
Sexual Orientation,957,2,8,237,383,327,5,323,52,15,38,1,7,207,3,18
Anti-Male Homosexual,569,2,3,161,233,170,2,182,42,11,9,1,3,115,1,5
Anti-Female Homosexual,125,0,3,21,51,50,1,31,0,0,5,0,0,26,0,2
Anti-Homosexual,223,0,1,44,83,95,2,94,9,3,18,0,4,60,0,2
Anti-Heterosexual,21,0,0,5,8,8,0,11,1,1,4,0,0,4,1,5
Anti-Bisexual,19,0,1,6,8,4,0,5,0,0,2,0,0,2,1,4
Disability,71,1,3,12,32,23,2,39,2,2,16,0,2,8,9,16
Anti-Physical,19,1,0,4,9,5,0,9,0,0,5,0,0,2,2,7
Anti-Mental,52,0,3,8,23,18,2,30,2,2,11,0,2,6,7,9
Gender,28,0,3,5,12,8,3,20,0,2,3,2,0,13,0,2
Anti-Male,11,0,1,3,4,3,1,12,0,2,3,2,0,5,0,1
Anti-Female,17,0,2,2,8,5,2,8,0,0,0,0,0,8,0,1
Gender Identity,100,0,0,28,47,25,0,31,5,3,6,0,0,14,3,0
Anti-Transgender,94,0,0,27,43,24,0,24,4,2,4,0,0,13,1,0
Anti-Gender Non-Conforming,6,0,0,1,4,1,0,7,1,1,2,0,0,1,2,0
