Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,2987,3,4,607 ,939 ,1424,10,1730 ,68 ,92,167,16 ,14 ,1335 ,38 ,20
Anti-White,585,2,1,139 ,249 ,186,8,412 ,37 ,44,120,9 ,3 ,168 ,31 ,11
Anti-Black,2042,1,3,395 ,564 ,1079,0,1088 ,22 ,37,28,7 ,9 ,980 ,5 ,6
Anti-Native,48,0,0,12 ,18 ,17,1,24 ,1 ,2,10,0 ,1 ,8 ,2 ,0
Anti-Asian,166,0,0,36 ,65 ,65,0,62 ,7 ,4,8,0 ,0 ,43 ,0 ,2
Anti-Multiple,146,0,0,25 ,43 ,77,1,144 ,1 ,5,1,0 ,1 ,136 ,0 ,1
Anti-Hispanic,561,0,0,181 ,175 ,205,0,201 ,30 ,7,7,2 ,5 ,149 ,1 ,8
Anti-Other,297,0,0,52 ,98 ,147,0,166 ,5 ,3,8,1 ,3 ,145 ,1 ,0
Religion,553,0,0,65 ,108 ,379,1,1043 ,4 ,30,37,2 ,16 ,947 ,7 ,1
Anti-Jewish,324,0,0,22 ,58 ,244,0,703 ,1 ,7,13,0 ,8 ,672 ,2 ,0
Anti-Catholic,17,0,0,0 ,9 ,8,0,64 ,0 ,5,8,1 ,0 ,49 ,1 ,0
Anti-Protestant,6,0,0,0 ,3 ,3,0,55 ,1 ,5,5,0 ,2 ,39 ,3 ,1
Anti-Islamic,133,0,0,24 ,30 ,79,0,58 ,1 ,5,0,0 ,0 ,51 ,1 ,0
Anti-Others,33,0,0,7 ,2 ,24,0,107 ,1 ,6,5,1 ,4 ,90 ,0 ,0
Anti-Multiple,34,0,0,12 ,3 ,19,0,54 ,0 ,2,6,0 ,2 ,44 ,0 ,0
Anti-Atheism,6,0,0,0 ,3 ,2,1,2 ,0 ,0,0,0 ,0 ,2 ,0 ,0
Sexual Orientation,1004,0,0,267 ,395 ,338,4,409 ,34 ,17,28,3 ,2 ,319 ,6 ,2
Anti-Male Homosexual,668,0,0,187 ,261 ,220,0,212 ,22 ,11,7,1 ,0 ,170 ,1 ,1
Anti-Female Homosexual,124,0,0,27 ,44 ,50,3,67 ,2 ,3,4,2 ,0 ,54 ,2 ,1
Anti-Homosexual,189,0,0,52 ,83 ,54,0,104 ,10 ,2,5,0 ,2 ,85 ,0 ,0
Anti-Heterosexual,12,0,0,1 ,2 ,8,1,16 ,0 ,1,6,0 ,0 ,8 ,1 ,0
Anti-Bisexual,11,0,0,0 ,5 ,6,0,10 ,0 ,0,6,0 ,0 ,2 ,2 ,0
Disability,47,0,2,6 ,22 ,15,2,40 ,1 ,5,13,1 ,1 ,15 ,4 ,7
Anti-Physical,11,0,0,2 ,4 ,3,2,6 ,0 ,0,4,0 ,0 ,2 ,0 ,3
Anti-Mental,36,0,2,4 ,18 ,12,0,34 ,1 ,5,9,1 ,1 ,13 ,4 ,4
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gender Non-Conforming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
